key,pos,count,idf
nface,0,5,8.692323
maximum,1,13,7.736743
key,2,2,9.608646
stores,3,5,8.692323
digitally,4,10,7.999007
european,5,3,9.203215
nvideo,6,2,9.608646
beautifully,7,3,9.203215
quality,8,103,5.666427
powershot,9,15,7.593374
models,10,6,8.509967
transfer,11,2,9.608646
sports,12,7,8.355850
original,13,66,6.111467
nincluded,14,3,9.203215
continuous,15,39,6.637258
beach,16,2,9.608646
two,17,8,8.222285
copy,18,3,9.203215
beige,19,2,9.608646
locationlenscolour,20,2,9.608646
beautiful,21,5,8.692323
sacrificing,22,2,9.608646
online,23,14,7.662468
integrated,24,24,7.123673
loaded,25,4,8.915432
professionally,26,8,8.222285
reduces,27,4,8.915432
displaydisplaytftdisplay,28,2,9.608646
files,29,56,6.274762
enhanced,30,5,8.692323
shadows,31,4,8.915432
swivel,32,2,9.608646
second,33,26,7.043160
pricedekho,34,5,8.692323
miniature,35,5,8.692323
medium,36,7,8.355850
including,37,32,6.835185
ion,38,37,6.690842
photographic,39,4,8.915432
terms,40,2,9.608646
brilliant,41,4,8.915432
xqd,42,2,9.608646
improper,43,2,9.608646
computer,44,2,9.608646
yeswi,45,2,9.608646
ndimensions,46,2,9.608646
german,47,5,8.692323
overlay,48,3,9.203215
approx,49,18,7.410952
view,50,71,6.037871
meijer,51,3,9.203215
sync,52,43,6.539586
taking,53,11,7.903596
exc,54,2,9.608646
sunset,55,7,8.355850
month,56,3,9.203215
sound,57,20,7.305860
shooting,58,120,5.513429
shoot,59,56,6.274762
something,60,6,8.509967
finepix,61,6,8.509967
mic,62,2,9.608646
mid,63,4,8.915432
clips,64,6,8.509967
wireless,65,16,7.528869
free,66,19,7.356918
eye,67,57,6.257668
min,68,7,8.355850
true,69,4,8.915432
extechnical,70,2,9.608646
number,71,68,6.082219
moves,72,2,9.608646
mark,73,10,7.999007
requirementswindows,74,2,9.608646
standard,75,45,6.493754
depth,76,10,7.999007
neutral,77,26,7.043160
width,78,2,9.608646
handmade,79,48,6.429719
avchd,80,6,8.509967
swipe,81,4,8.915432
incorrect,82,4,8.915432
capabilities,83,26,7.043160
brazilian,84,3,9.203215
costs,85,3,9.203215
temperature,86,30,6.899723
denotes,87,4,8.915432
cmweight,88,4,8.915432
russian,89,5,8.692323
construction,90,2,9.608646
heads,91,4,8.915432
magnesium,92,26,7.043160
marvel,93,4,8.915432
unprecedented,94,4,8.915432
isn,95,10,7.999007
iso,96,87,5.834811
nscreen,97,2,9.608646
short,98,2,9.608646
nstatus,99,2,9.608646
confuse,100,3,9.203215
glass,101,8,8.222285
comparison,102,40,6.612041
portions,103,56,6.274762
onto,104,5,8.692323
control,105,110,5.598422
straighten,106,3,9.203215
batteries,107,10,7.999007
mauto,108,2,9.608646
extend,109,2,9.608646
striking,110,4,8.915432
nix,111,2,9.608646
organization,112,5,8.692323
viewfinderoptical,113,2,9.608646
windows,114,12,7.816820
dial,115,5,8.692323
npredictive,116,2,9.608646
equivalent,117,47,6.450470
processordigic,118,2,9.608646
damaged,119,3,9.203215
being,120,6,8.509967
presets,121,19,7.356918
included,122,8,8.222285
night,123,13,7.736743
landscape,124,24,7.123673
nmovies,125,2,9.608646
sufficient,126,6,8.509967
shots,127,32,6.835185
allows,128,4,8.915432
nexposure,129,3,9.203215
damage,130,2,9.608646
includes,131,33,6.804615
helps,132,8,8.222285
gifts,133,4,8.915432
further,134,5,8.692323
dark,135,3,9.203215
enough,136,5,8.692323
adapter,137,6,8.509967
enterprise,138,2,9.608646
nmemory,139,3,9.203215
experienced,140,4,8.915432
sflashflash,141,2,9.608646
customizable,142,5,8.692323
monaural,143,11,7.903596
softwarewindows,144,2,9.608646
person,145,2,9.608646
increments,146,7,8.355850
variables,147,9,8.104402
outcome,148,5,8.692323
visit,149,2,9.608646
adjustable,150,3,9.203215
nikon,151,312,4.553877
available,152,15,7.593374
analyzes,153,4,8.915432
consequential,154,2,9.608646
dials,155,3,9.203215
millions,156,4,8.915432
mov,157,31,6.866933
nslow,158,3,9.203215
u,159,289,4.634729
electrical,160,2,9.608646
auto,161,153,5.267858
data,162,18,7.410952
nyes,163,2,9.608646
finish,164,5,8.692323
anything,165,3,9.203215
mpf,166,6,8.509967
offers,167,91,5.789960
interfacevideo,168,2,9.608646
good,169,8,8.222285
