key,pos,count,idf
nface,1,5,8.692323
maximum,2,13,7.736743
key,3,2,9.608646
stores,4,5,8.692323
digitally,6,10,7.999007
european,7,3,9.203215
nvideo,8,2,9.608646
beautifully,9,3,9.203215
quality,11,103,5.666427
powershot,12,15,7.593374
models,13,6,8.509967
transfer,14,2,9.608646
sports,15,7,8.355850
original,17,66,6.111467
nincluded,18,3,9.203215
continuous,19,39,6.637258
beach,20,2,9.608646
two,21,8,8.222285
copy,22,3,9.203215
beige,23,2,9.608646
locationlenscolour,25,2,9.608646
beautiful,26,5,8.692323
sacrificing,27,2,9.608646
online,29,14,7.662468
integrated,31,24,7.123673
loaded,33,4,8.915432
professionally,34,8,8.222285
reduces,35,4,8.915432
displaydisplaytftdisplay,37,2,9.608646
files,39,56,6.274762
enhanced,41,5,8.692323
shadows,42,4,8.915432
swivel,43,2,9.608646
second,44,26,7.043160
pricedekho,46,5,8.692323
miniature,47,5,8.692323
medium,48,7,8.355850
including,49,32,6.835185
ion,50,37,6.690842
photographic,51,4,8.915432
terms,52,2,9.608646
brilliant,53,4,8.915432
xqd,54,2,9.608646
improper,55,2,9.608646
computer,56,2,9.608646
yeswi,57,2,9.608646
ndimensions,59,2,9.608646
german,61,5,8.692323
overlay,62,3,9.203215
approx,63,18,7.410952
view,64,71,6.037871
meijer,65,3,9.203215
sync,66,43,6.539586
taking,67,11,7.903596
exc,69,2,9.608646
sunset,71,7,8.355850
month,72,3,9.203215
sound,73,20,7.305860
shooting,74,120,5.513429
shoot,76,56,6.274762
something,77,6,8.509967
finepix,79,6,8.509967
mic,82,2,9.608646
mid,83,4,8.915432
clips,84,6,8.509967
wireless,85,16,7.528869
free,89,19,7.356918
eye,90,57,6.257668
min,91,7,8.355850
true,93,4,8.915432
extechnical,94,2,9.608646
number,95,68,6.082219
moves,96,2,9.608646
mark,97,10,7.999007
requirementswindows,99,2,9.608646
standard,101,45,6.493754
depth,103,10,7.999007
neutral,105,26,7.043160
width,107,2,9.608646
handmade,108,48,6.429719
avchd,111,6,8.509967
swipe,112,4,8.915432
incorrect,113,4,8.915432
capabilities,114,26,7.043160
brazilian,115,3,9.203215
costs,116,3,9.203215
temperature,117,30,6.899723
denotes,119,4,8.915432
cmweight,123,4,8.915432
russian,125,5,8.692323
construction,126,2,9.608646
heads,127,4,8.915432
magnesium,128,26,7.043160
marvel,129,4,8.915432
unprecedented,130,4,8.915432
isn,131,10,7.999007
iso,132,87,5.834811
nscreen,133,2,9.608646
short,134,2,9.608646
nstatus,135,2,9.608646
confuse,136,3,9.203215
glass,139,8,8.222285
comparison,140,40,6.612041
portions,141,56,6.274762
onto,143,5,8.692323
control,144,110,5.598422
straighten,145,3,9.203215
batteries,146,10,7.999007
mauto,147,2,9.608646
extend,149,2,9.608646
striking,150,4,8.915432
nix,155,2,9.608646
organization,157,5,8.692323
viewfinderoptical,158,2,9.608646
windows,159,12,7.816820
dial,160,5,8.692323
npredictive,162,2,9.608646
equivalent,163,47,6.450470
processordigic,164,2,9.608646
damaged,165,3,9.203215
being,166,6,8.509967
presets,167,19,7.356918
included,168,8,8.222285
night,169,13,7.736743
landscape,171,24,7.123673
nmovies,172,2,9.608646
sufficient,176,6,8.509967
shots,177,32,6.835185
allows,178,4,8.915432
nexposure,179,3,9.203215
damage,180,2,9.608646
includes,182,33,6.804615
helps,184,8,8.222285
gifts,185,4,8.915432
further,186,5,8.692323
dark,187,3,9.203215
enough,189,5,8.692323
adapter,190,6,8.509967
enterprise,191,2,9.608646
nmemory,192,3,9.203215
experienced,193,4,8.915432
sflashflash,195,2,9.608646
customizable,196,5,8.692323
monaural,198,11,7.903596
softwarewindows,200,2,9.608646
person,201,2,9.608646
increments,202,7,8.355850
variables,203,9,8.104402
outcome,204,5,8.692323
visit,205,2,9.608646
adjustable,206,3,9.203215
nikon,207,312,4.553877
available,209,15,7.593374
analyzes,210,4,8.915432
consequential,218,2,9.608646
dials,219,3,9.203215
millions,220,4,8.915432
mov,222,31,6.866933
nslow,223,3,9.203215
u,225,289,4.634729
electrical,226,2,9.608646
auto,227,153,5.267858
data,228,18,7.410952
nyes,232,2,9.608646
finish,234,5,8.692323
anything,235,3,9.203215
mpf,236,6,8.509967
offers,237,91,5.789960
interfacevideo,240,2,9.608646
good,241,8,8.222285
mpn,242,2,9.608646
meter,243,2,9.608646
grabmore,245,2,9.608646
stylish,246,4,8.915432
shows,249,3,9.203215
mpx,250,7,8.355850
under,251,2,9.608646
microphoneyesaudio,252,2,9.608646
thing,254,7,8.355850
nnormal,255,5,8.692323
nstereo,256,2,9.608646
baseline,257,17,7.468513
taiwan,260,2,9.608646
components,262,3,9.203215
around,265,8,8.222285
equiv,266,2,9.608646
intended,267,237,4.828314
detects,268,4,8.915432
stands,269,5,8.692323
cammarkt,270,5,8.692323
compression,272,7,8.355850
light,273,25,7.082549
njpeg,274,5,8.692323
pixels,275,120,5.513429
batterybattery,276,2,9.608646
cosmetic,277,217,4.919981
viewing,278,34,6.775366
conditions,279,33,6.804615
notice,282,6,8.509967
adding,284,4,8.915432
sdxcmemory,287,2,9.608646
l,290,5,8.692323
separate,293,5,8.692323
lbs,294,10,7.999007
ndistance,296,2,9.608646
turkis,297,2,9.608646
gre,298,2,9.608646
bit,299,41,6.587550
ita,300,2,9.608646
memories,301,4,8.915432
pentaprism,302,14,7.662468
korean,303,5,8.692323
nmotion,304,4,8.915432
supported,305,8,8.222285
snow,306,4,8.915432
conversion,307,6,8.509967
frame,308,115,5.556828
case,310,50,6.388561
ir,312,2,9.608646
best,313,24,7.123673
download,316,3,9.203215
half,317,12,7.816820
found,318,47,6.450470
qld,320,11,7.903596
xoptical,321,2,9.608646
ncl,322,2,9.608646
know,324,4,8.915432
combats,325,4,8.915432
infrared,326,4,8.915432
ukrdirect,327,2,9.608646
reflected,328,56,6.274762
pixelssensor,329,4,8.915432
mtp,330,2,9.608646
bring,331,4,8.915432
refurbished,332,10,7.999007
modesfireworks,333,2,9.608646
natural,335,27,7.005789
manufactures,339,2,9.608646
fantastic,340,5,8.692323
nfinetuning,341,2,9.608646
grid,342,3,9.203215
nwhere,344,4,8.915432
infinity,345,5,8.692323
nprimary,346,2,9.608646
mini,347,47,6.450470
navailable,348,5,8.692323
days,349,9,8.104402
movies,350,62,6.173786
images,351,122,5.497168
mint,352,11,7.903596
functions,353,252,4.770685
fastest,354,6,8.509967
hand,355,8,8.222285
nflash,356,8,8.222285
equally,357,5,8.692323
dioptric,358,4,8.915432
retaining,359,4,8.915432
excluding,360,3,9.203215
japanese,363,7,8.355850
mountwith,365,2,9.608646
multi,366,92,5.777652
absorbs,367,4,8.915432
cmheight,368,4,8.915432
body,369,262,4.727388
partners,370,3,9.203215
effective,372,9,8.104402
exchangeable,375,3,9.203215
retail,376,47,6.450470
autofocus,377,76,5.968708
points,378,92,5.777652
color,379,66,6.111467
shown,380,7,8.355850
detected,381,4,8.915432
carefully,382,3,9.203215
essential,383,4,8.915432
wallet,384,3,9.203215
connectoryesvideovideo,385,2,9.608646
depending,386,58,6.240276
vietnamese,388,4,8.915432
million,391,10,7.999007
ncompact,392,2,9.608646
play,393,4,8.915432
tamil,394,3,9.203215
zooms,395,5,8.692323
small,396,7,8.355850
modified,397,3,9.203215
keeping,399,2,9.608646
shadow,400,2,9.608646
dsc,401,2,9.608646
shield,402,3,9.203215
ngps,405,2,9.608646
availability,406,11,7.903596
import,407,2,9.608646
eyepiece,408,9,8.104402
